Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),O/C(H),H/C(H),N/C(H),Ash(H),HHV(H),CR,ER,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,200.000 ,60.000 ,87.140 ,15.761 ,0.935 ,1.400 ,0.066 ,60.450 ,5.490 ,78.935 ,75.700 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,230.000 ,60.000 ,86.730 ,15.451 ,0.941 ,1.338 ,0.053 ,61.470 ,5.480 ,77.017 ,75.210 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,260.000 ,60.000 ,81.740 ,15.652 ,0.807 ,1.289 ,0.052 ,63.920 ,5.150 ,73.530 ,66.610 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,290.000 ,60.000 ,79.660 ,15.291 ,0.783 ,1.281 ,0.043 ,65.280 ,4.840 ,70.007 ,61.010 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,320.000 ,60.000 ,77.190 ,14.390 ,0.822 ,1.262 ,0.038 ,66.590 ,4.530 ,63.839 ,55.330 ,,,,,,
54.690 ,17.399 ,0.966 ,1.659 ,0.093 ,6.320 ,80.000 ,350.000 ,60.000 ,73.430 ,13.180 ,0.862 ,1.244 ,0.035 ,68.870 ,4.340 ,55.626 ,50.430 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,170.000 ,60.000 ,89.240 ,46.230 ,0.384 ,1.547 ,0.153 ,15.920 ,20.241 ,90.932 ,91.083 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,200.000 ,60.000 ,35.310 ,49.740 ,0.241 ,1.339 ,0.107 ,22.510 ,21.661 ,38.711 ,38.568 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,230.000 ,60.000 ,32.670 ,51.950 ,0.175 ,1.264 ,0.079 ,25.670 ,22.688 ,37.408 ,37.377 ,,,,,,
15.180 ,45.370 ,0.405 ,1.571 ,0.170 ,19.831 ,88.860 ,260.000 ,60.000 ,31.080 ,53.930 ,0.134 ,1.146 ,0.074 ,26.590 ,23.239 ,36.944 ,36.421 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,180.000 ,30.000 ,93.130 ,42.362 ,0.475 ,1.819 ,0.111 ,18.800 ,22.503 ,90.956 ,101.704 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,210.000 ,30.000 ,85.840 ,44.979 ,0.403 ,1.569 ,0.099 ,19.320 ,23.449 ,89.015 ,97.683 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,240.000 ,30.000 ,67.930 ,43.590 ,0.383 ,1.386 ,0.108 ,23.230 ,22.892 ,68.267 ,75.466 ,,,,,,
17.050 ,43.375 ,0.468 ,1.811 ,0.105 ,20.606 ,50.000 ,270.000 ,30.000 ,40.780 ,39.808 ,0.331 ,1.363 ,0.090 ,33.510 ,18.664 ,37.426 ,36.937 ,,,,,,
52.480 ,23.242 ,0.458 ,2.385 ,0.157 ,9.330 ,71.818 ,300.000 ,60.000 ,63.800 ,26.724 ,0.166 ,1.586 ,0.066 ,61.050 ,9.630 ,73.357 ,65.851 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,180.000 ,30.000 ,66.180 ,21.230 ,0.151 ,1.984 ,0.066 ,68.470 ,10.800 ,56.133 ,65.154 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,220.000 ,30.000 ,60.580 ,19.620 ,0.125 ,1.969 ,0.058 ,72.020 ,10.070 ,47.486 ,55.610 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,260.000 ,30.000 ,56.230 ,24.470 ,0.223 ,1.922 ,0.055 ,62.460 ,11.790 ,54.972 ,60.433 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,300.000 ,30.000 ,53.000 ,21.940 ,0.073 ,1.838 ,0.044 ,70.970 ,11.230 ,46.457 ,54.256 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,260.000 ,60.000 ,58.510 ,24.490 ,0.138 ,1.803 ,0.056 ,65.170 ,12.060 ,57.248 ,64.324 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,260.000 ,90.000 ,59.370 ,24.130 ,0.250 ,1.855 ,0.054 ,61.980 ,11.380 ,57.235 ,61.589 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,260.000 ,360.000 ,63.320 ,19.900 ,0.202 ,1.954 ,0.053 ,69.740 ,9.800 ,50.342 ,56.567 ,,,,,,
49.850 ,25.030 ,0.459 ,2.018 ,0.166 ,10.970 ,90.000 ,260.000 ,480.000 ,66.190 ,24.120 ,0.328 ,1.836 ,0.052 ,59.530 ,10.860 ,63.784 ,65.526 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,100.000 ,0.000 ,81.360 ,34.790 ,0.523 ,1.635 ,0.109 ,30.140 ,14.680 ,82.258 ,78.577 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,100.000 ,30.000 ,77.570 ,34.530 ,0.570 ,1.658 ,0.108 ,28.320 ,14.480 ,77.841 ,73.896 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,100.000 ,60.000 ,73.730 ,33.700 ,0.704 ,1.659 ,0.114 ,23.920 ,13.570 ,72.209 ,65.823 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,150.000 ,0.000 ,85.310 ,33.040 ,0.590 ,1.645 ,0.110 ,30.640 ,13.640 ,81.913 ,76.555 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,150.000 ,30.000 ,86.260 ,37.220 ,0.419 ,1.609 ,0.102 ,30.900 ,17.170 ,93.304 ,97.440 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,150.000 ,60.000 ,89.010 ,32.360 ,0.611 ,1.602 ,0.105 ,31.410 ,13.100 ,83.707 ,76.713 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,200.000 ,0.000 ,78.280 ,34.850 ,0.430 ,1.532 ,0.097 ,35.210 ,14.710 ,79.281 ,75.757 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,200.000 ,30.000 ,81.160 ,35.040 ,0.414 ,1.459 ,0.087 ,36.220 ,14.590 ,82.646 ,77.903 ,,,,,,
30.630 ,34.410 ,0.507 ,1.817 ,0.118 ,15.200 ,31.837 ,200.000 ,60.000 ,80.780 ,34.320 ,0.403 ,1.430 ,0.083 ,38.310 ,14.210 ,80.569 ,75.519 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,180.000 ,15.000 ,97.012 ,40.698 ,0.443 ,1.511 ,0.149 ,22.020 ,17.273 ,94.628 ,93.908 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,180.000 ,30.000 ,93.597 ,40.874 ,0.422 ,1.471 ,0.145 ,23.170 ,17.286 ,91.691 ,90.671 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,180.000 ,45.000 ,90.502 ,41.173 ,0.374 ,1.451 ,0.141 ,25.560 ,17.556 ,89.308 ,89.042 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,200.000 ,15.000 ,93.063 ,41.484 ,0.376 ,1.464 ,0.145 ,24.670 ,17.743 ,92.531 ,92.536 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,200.000 ,30.000 ,91.249 ,42.867 ,0.334 ,1.389 ,0.135 ,25.370 ,18.269 ,93.752 ,93.419 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,200.000 ,45.000 ,88.474 ,42.734 ,0.315 ,1.353 ,0.115 ,27.850 ,18.133 ,90.619 ,89.908 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,220.000 ,15.000 ,90.928 ,43.160 ,0.301 ,1.352 ,0.131 ,27.230 ,18.389 ,94.060 ,93.707 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,220.000 ,30.000 ,86.553 ,44.034 ,0.304 ,1.290 ,0.118 ,26.610 ,18.514 ,91.347 ,89.800 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,220.000 ,45.000 ,84.418 ,44.097 ,0.258 ,1.211 ,0.120 ,29.230 ,18.414 ,89.222 ,87.116 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,240.000 ,15.000 ,85.059 ,43.007 ,0.271 ,1.226 ,0.125 ,29.830 ,17.921 ,87.677 ,85.424 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,240.000 ,30.000 ,81.964 ,43.577 ,0.263 ,1.142 ,0.112 ,30.410 ,17.854 ,85.607 ,82.009 ,,,,,,
18.510 ,41.723 ,0.468 ,1.556 ,0.148 ,17.844 ,90.627 ,240.000 ,45.000 ,78.228 ,44.391 ,0.179 ,1.008 ,0.107 ,34.680 ,18.046 ,83.232 ,79.115 ,,,,,,
12.700 ,37.015 ,0.888 ,1.642 ,0.024 ,14.900 ,68.000 ,210.000 ,30.000 ,93.000 ,40.245 ,0.760 ,1.484 ,0.020 ,12.700 ,16.000 ,101.116 ,99.500 ,,,,,,
12.700 ,37.015 ,0.888 ,1.642 ,0.024 ,14.900 ,68.000 ,210.000 ,120.000 ,88.100 ,42.466 ,0.671 ,1.380 ,0.028 ,12.800 ,16.000 ,101.074 ,94.240 ,,,,,,
12.700 ,37.015 ,0.888 ,1.642 ,0.024 ,14.900 ,68.000 ,230.000 ,30.000 ,87.400 ,42.804 ,0.660 ,1.390 ,0.026 ,13.000 ,16.700 ,101.068 ,97.960 ,,,,,,
12.700 ,37.015 ,0.888 ,1.642 ,0.024 ,14.900 ,68.000 ,230.000 ,120.000 ,79.700 ,44.383 ,0.571 ,1.282 ,0.026 ,15.300 ,17.900 ,95.564 ,95.680 ,,,,,,
